day,diversity,replicate,competition,clone,rotifers,method_r,protist,method_p,NOTES
3,Low,B,FALSE,3,2,slide ,,Line ,
3,Low,B,FALSE,4,2,slide ,,Line ,
3,Low,B,FALSE,5,0,slide ,,Line ,
3,Low,C,FALSE,1,1,slide ,,Line ,
3,Low,C,FALSE,2,1,slide ,,Line ,
3,Low,C,FALSE,3,4,slide ,,Line ,
3,Low,C,FALSE,4,5,slide ,,Line ,
3,Low,C,FALSE,5,4,slide ,,Line ,
3,Low,D,TRUE,1,4,slide ,51,Line ,
3,Low,D,TRUE,2,4,slide ,45,Line ,
3,Low,D,TRUE,3,3,slide ,40,Line ,
3,Low,D,TRUE,4,1,slide ,19,Line ,
3,Low,D,TRUE,5,3,slide ,34,Line ,
3,Low,E,TRUE,1,2,slide ,37,Line ,
3,Low,E,TRUE,2,2,slide ,41,Line ,
3,Low,E,TRUE,3,2,slide ,24,Line ,
3,Low,E,TRUE,4,5,slide ,49,Line ,
3,Low,E,TRUE,5,0,slide ,23,Line ,
3,Low,F,TRUE,1,2,slide ,46,Line ,
3,Low,F,TRUE,2,2,slide ,36,Line ,
3,Low,F,TRUE,3,0,slide ,60,Line ,
3,Low,F,TRUE,4,6,slide ,41,Line ,
3,Low,F,TRUE,5,5,slide ,70,Line ,
3,High,A,FALSE,mix,1,slide ,,Line ,
3,High,B,FALSE,mix,1,slide ,,Line ,
3,High,C,FALSE,mix,0,slide ,,Line ,
3,High,D,TRUE,mix,4,slide ,45,Line ,
3,High,E,TRUE,mix,0,slide ,62,Line ,
3,High,F,TRUE,mix,2,slide ,65,Line ,
4,Low,A,FALSE,1,5,slide ,,Line ,start time ~ 12:31pm
4,Low,A,FALSE,2,1,slide ,,Line ,end time~ 1:55pm
4,Low,A,FALSE,3,6,slide ,,Line ,
4,Low,A,FALSE,4,4,slide ,,Line ,
4,Low,A,FALSE,5,5,slide ,,Line ,
4,Low,B,FALSE,1,14,slide ,,Line ,
4,Low,B,FALSE,2,4,slide ,,Line ,
4,Low,B,FALSE,3,9,slide ,,Line ,
4,Low,B,FALSE,4,7,slide ,,Line ,
4,Low,B,FALSE,5,5,slide ,,Line ,
4,Low,C,FALSE,1,13,slide ,,Line ,
4,Low,C,FALSE,2,6,slide ,,Line ,
4,Low,C,FALSE,3,3,slide ,,Line ,
4,Low,C,FALSE,4,7,slide ,,Line ,
4,Low,C,FALSE,5,3,slide ,,Line ,
4,Low,D,TRUE,1,6,slide ,70,Line ,
4,Low,D,TRUE,2,0,slide ,56,Line ,
4,Low,D,TRUE,3,4,slide ,115,Line ,
4,Low,D,TRUE,4,1,slide ,67,Line ,
4,Low,D,TRUE,5,4,slide ,62,Line ,
4,Low,E,TRUE,1,7,slide ,52,Line ,
4,Low,E,TRUE,2,3,slide ,68,Line ,
4,Low,E,TRUE,3,7,slide ,96,Line ,
4,Low,E,TRUE,4,1,slide ,171,Line ,
4,Low,E,TRUE,5,6,slide ,110,Line ,
4,Low,F,TRUE,1,8,slide ,101,Line ,
4,Low,F,TRUE,2,5,slide ,87,Line ,
4,Low,F,TRUE,3,3,slide ,134,Line ,
4,Low,F,TRUE,4,3,slide ,119,Line ,
4,Low,F,TRUE,5,0,slide ,142,Line ,
4,High,A,FALSE,mix,6,slide ,,Line ,
4,High,B,FALSE,mix,3,slide ,,Line ,
4,High,C,FALSE,mix,8,slide ,,Line ,
4,High,D,TRUE,mix,5,slide ,85,Line ,
4,High,E,TRUE,mix,0,slide ,91,Line ,
4,High,F,TRUE,mix,3,slide ,80,Line ,
5,Low,A,FALSE,1,9,slide ,,Line ,
5,Low,A,FALSE,2,4,slide ,,Line ,
5,Low,A,FALSE,3,17,slide ,,Line ,
5,Low,A,FALSE,4,5,slide ,,Line ,
5,Low,A,FALSE,5,7,slide ,,Line ,
5,Low,B,FALSE,1,14,slide ,,Line ,
5,Low,B,FALSE,2,8,slide ,,Line ,
5,Low,B,FALSE,3,10,slide ,,Line ,
5,Low,B,FALSE,4,12,slide ,,Line ,
5,Low,B,FALSE,5,8,slide ,,Line ,
5,Low,C,FALSE,1,11,slide ,,Line ,
5,Low,C,FALSE,2,4,slide ,,Line ,
5,Low,C,FALSE,3,11,slide ,,Line ,
5,Low,C,FALSE,4,10,slide ,,Line ,
5,Low,C,FALSE,5,9,slide ,,Line ,
5,Low,D,TRUE,1,7,slide ,44,Line ,
5,Low,D,TRUE,2,5,slide ,103,Line ,
5,Low,D,TRUE,3,3,slide ,124,Line ,
5,Low,D,TRUE,4,9,slide ,62,Line ,
5,Low,D,TRUE,5,4,slide ,90,Line ,
5,Low,E,TRUE,1,8,slide ,92,Line ,
5,Low,E,TRUE,2,4,slide ,86,Line ,
5,Low,E,TRUE,3,8,slide ,147,Line ,
5,Low,E,TRUE,4,2,slide ,141,Line ,
5,Low,E,TRUE,5,7,slide ,70,Line ,
5,Low,F,TRUE,1,7,slide ,106,Line ,
5,Low,F,TRUE,2,2,slide ,75,Line ,
5,Low,F,TRUE,3,7,slide ,63,Line ,
5,Low,F,TRUE,4,9,slide ,143,Line ,
5,Low,F,TRUE,5,5,slide ,118,Line ,
5,High,A,FALSE,mix,8,slide ,,Line ,
5,High,B,FALSE,mix,12,slide ,,Line ,
5,High,C,FALSE,mix,10,slide ,,Line ,
5,High,D,TRUE,mix,11,slide ,88,Line ,
5,High,E,TRUE,mix,7,slide ,63,Line ,
5,High,F,TRUE,mix,5,slide ,66,Line ,
6,Low,A,FALSE,1,21,slide ,,Line,start time ~ 5:54pm
6,Low,A,FALSE,2,22,slide ,,Line,end time~ 7:11pm
6,Low,A,FALSE,3,16,slide ,,Line,
6,Low,A,FALSE,4,18,slide ,,Line,
6,Low,A,FALSE,5,13,slide ,,Line,
6,Low,B,FALSE,1,22,slide ,,Line,
6,Low,B,FALSE,2,10,slide ,,Line,
6,Low,B,FALSE,3,23,slide ,,Line,
6,Low,B,FALSE,4,17,slide ,,Line,
6,Low,B,FALSE,5,9,slide ,,Line,
6,Low,C,FALSE,1,36,slide ,,Line,
6,Low,C,FALSE,2,10,slide ,,Line,
6,Low,C,FALSE,3,22,slide ,,Line,
6,Low,C,FALSE,4,21,slide ,,Line,
6,Low,C,FALSE,5,19,slide ,,Line,
6,Low,D,TRUE,1,13,slide ,75,Line,
6,Low,D,TRUE,2,4,slide ,98,Line,
6,Low,D,TRUE,3,4,slide ,171,Line,
6,Low,D,TRUE,4,7,slide ,83,Line,
6,Low,D,TRUE,5,5,slide ,136,Line,
6,Low,E,TRUE,1,16,slide ,78,Line,
6,Low,E,TRUE,2,9,slide ,65,Line,
6,Low,E,TRUE,3,4,slide ,49,Line,
6,Low,E,TRUE,4,9,slide ,153,Line,
6,Low,E,TRUE,5,8,slide ,93,Line,
6,Low,F,TRUE,1,12,slide ,74,Line,
6,Low,F,TRUE,2,10,slide ,91,Line,
6,Low,F,TRUE,3,11,slide ,91,Line,
6,Low,F,TRUE,4,11,slide ,113,Line,
6,Low,F,TRUE,5,1,slide ,105,Line,
6,High,A,FALSE,mix,17,slide ,,Line,
6,High,B,FALSE,mix,12,slide ,,Line,
6,High,C,FALSE,mix,17,slide ,,Line,
6,High,D,TRUE,mix,7,slide ,90,Line,
6,High,E,TRUE,mix,12,slide ,92,Line,
6,High,F,TRUE,mix,7,slide,106,Line,
8,Low,A,FALSE,1,40,slide,,Line,start time ~ 5:50pm
8,Low,A,FALSE,2,35,slide,,Line,end time~ 7:30pm
8,Low,A,FALSE,3,39,slide,,Line,
8,Low,A,FALSE,4,37,slide,,Line,
8,Low,A,FALSE,5,23,slide,,Line,
8,Low,B,FALSE,1,51,slide,,Line,
8,Low,B,FALSE,2,36,slide,,Line,
8,Low,B,FALSE,3,16,slide,,Line,
8,Low,B,FALSE,4,22,slide,,Line,
8,Low,B,FALSE,5,38,slide,,Line,
8,Low,C,FALSE,1,35,slide,,Line,
8,Low,C,FALSE,2,47,slide,,Line,
8,Low,C,FALSE,3,35,slide,,Line,
8,Low,C,FALSE,4,19,slide,,Line,
8,Low,C,FALSE,5,20,slide,,Line,
8,Low,D,TRUE,1,29,slide,84,Line,
8,Low,D,TRUE,2,15,slide,71,Line,
8,Low,D,TRUE,3,23,slide,80,Line,
8,Low,D,TRUE,4,16,slide,46,Line,
8,Low,D,TRUE,5,13,slide,69,Line,
8,Low,E,TRUE,1,21,slide,46,Line,
8,Low,E,TRUE,2,21,slide,68,Line,
8,Low,E,TRUE,3,7,slide,20,Line,
8,Low,E,TRUE,4,22,slide,43,Line,
8,Low,E,TRUE,5,15,slide,25,Line,
8,Low,F,TRUE,1,23,slide,55,Line,
8,Low,F,TRUE,2,21,slide,53,Line,
8,Low,F,TRUE,3,12,slide,48,Line,
8,Low,F,TRUE,4,12,slide,58,Line,
8,Low,F,TRUE,5,19,slide,78,Line,
8,High,A,FALSE,mix,27,slide,,Line,
8,High,B,FALSE,mix,41,slide,,Line,
8,High,C,FALSE,mix,7,slide,,Line,
8,High,D,TRUE,mix,19,slide,42,Line,
8,High,E,TRUE,mix,19,slide,53,Line,
8,High,F,TRUE,mix,4,slide,47,Line,
10,Low,A,FALSE,1,55,slide,,Line,
10,Low,A,FALSE,2,29,slide,,Line,
10,Low,A,FALSE,3,26,slide,,Line,
10,Low,A,FALSE,4,29,slide,,Line,
10,Low,A,FALSE,5,37,slide,,Line,
10,Low,B,FALSE,1,43,slide,,Line,
10,Low,B,FALSE,2,25,slide,,Line,
10,Low,B,FALSE,3,44,slide,,Line,
10,Low,B,FALSE,4,38,slide,,Line,
10,Low,B,FALSE,5,42,slide,,Line,
10,Low,C,FALSE,1,37,slide,,Line,
10,Low,C,FALSE,2,27,slide,,Line,
10,Low,C,FALSE,3,32,slide,,Line,
10,Low,C,FALSE,4,46,slide,,Line,
10,Low,C,FALSE,5,35,slide,,Line,
10,Low,D,TRUE,1,30,slide,77,Line,
10,Low,D,TRUE,2,19,slide,137,Line,
10,Low,D,TRUE,3,29,slide,99,Line,
10,Low,D,TRUE,4,16,slide,128,Line,
10,Low,D,TRUE,5,13,slide,102,Line,
10,Low,E,TRUE,1,38,slide,90,Line,
10,Low,E,TRUE,2,32,slide,124,Line,
10,Low,E,TRUE,3,11,slide,44,Line,
10,Low,E,TRUE,4,13,slide,143,Line,
10,Low,E,TRUE,5,14,slide,96,Line,
10,Low,F,TRUE,1,39,slide,119,Line,
10,Low,F,TRUE,2,26,slide,109,Line,
10,Low,F,TRUE,3,13,slide,107,Line,
10,Low,F,TRUE,4,35,slide,142,Line,
10,Low,F,TRUE,5,23,slide,141,Line,
10,High,A,FALSE,mix,40,slide,,Line,
10,High,B,FALSE,mix,27,slide,,Line,
10,High,C,FALSE,mix,31,slide,,Line,
10,High,D,TRUE,mix,20,slide,76,Line,
10,High,E,TRUE,mix,34,slide,99,Line,
10,High,F,TRUE,mix,24,slide,105,Line,
12,Low,A,FALSE,1,,slide,,Line,
12,Low,A,FALSE,2,,slide,,Line,
12,Low,A,FALSE,3,,slide,,Line,
12,Low,A,FALSE,4,,slide,,Line,
12,Low,A,FALSE,5,,slide,,Line,
12,Low,B,FALSE,1,,slide,,Line,
12,Low,B,FALSE,2,,slide,,Line,
12,Low,B,FALSE,3,,slide,,Line,
12,Low,B,FALSE,4,,slide,,Line,
12,Low,B,FALSE,5,,slide,,Line,
12,Low,C,FALSE,1,,slide,,Line,
12,Low,C,FALSE,2,,slide,,Line,
12,Low,C,FALSE,3,,slide,,Line,
12,Low,C,FALSE,4,,slide,,Line,
12,Low,C,FALSE,5,,slide,,Line,
12,Low,D,TRUE,1,,slide,,Line,
12,Low,D,TRUE,2,,slide,,Line,
12,Low,D,TRUE,3,,slide,,Line,
12,Low,D,TRUE,4,,slide,,Line,
12,Low,D,TRUE,5,,slide,,Line,
12,Low,E,TRUE,1,,slide,,Line,
12,Low,E,TRUE,2,,slide,,Line,
12,Low,E,TRUE,3,,slide,,Line,
12,Low,E,TRUE,4,,slide,,Line,
12,Low,E,TRUE,5,,slide,,Line,
12,Low,F,TRUE,1,,slide,,Line,
12,Low,F,TRUE,2,,slide,,Line,
12,Low,F,TRUE,3,,slide,,Line,
12,Low,F,TRUE,4,,slide,,Line,
12,Low,F,TRUE,5,,slide,,Line,
12,High,A,FALSE,mix,,slide,,Line,
12,High,B,FALSE,mix,,slide,,Line,
12,High,C,FALSE,mix,,slide,,Line,
12,High,D,TRUE,mix,,slide,,Line,
12,High,E,TRUE,mix,,slide,,Line,
12,High,F,TRUE,mix,,slide,,Line,
14,Low,A,FALSE,1,39,slide,,Line,
